Date,Total_US_Cases,New_Cases,category,product_code_description,reason_for_interruption_per_506j,Shortage_Flag
2020-01-22,1,1,NA,NA,NA,0
2020-01-23,1,0,NA,NA,NA,0
2020-01-24,2,1,NA,NA,NA,0
2020-01-25,2,0,NA,NA,NA,0
2020-01-26,5,3,NA,NA,NA,0
2020-01-27,5,0,NA,NA,NA,0
2020-01-28,5,0,NA,NA,NA,0
2020-01-29,6,1,NA,NA,NA,0
2020-01-30,6,0,NA,NA,NA,0
2020-01-31,8,2,NA,NA,NA,0
2020-02-01,8,0,NA,NA,NA,0
2020-02-02,8,0,NA,NA,NA,0
2020-02-03,11,3,NA,NA,NA,0
2020-02-04,11,0,NA,NA,NA,0
2020-02-05,11,0,NA,NA,NA,0
2020-02-06,12,1,NA,NA,NA,0
2020-02-07,12,0,NA,NA,NA,0
2020-02-08,12,0,NA,NA,NA,0
2020-02-09,12,0,NA,NA,NA,0
2020-02-10,12,0,NA,NA,NA,0
2020-02-11,13,1,NA,NA,NA,0
2020-02-12,13,0,NA,NA,NA,0
2020-02-13,14,1,NA,NA,NA,0
2020-02-14,14,0,NA,NA,NA,0
2020-02-15,14,0,NA,NA,NA,0
2020-02-16,14,0,NA,NA,NA,0
2020-02-17,15,1,NA,NA,NA,0
2020-02-18,16,1,NA,NA,NA,0
2020-02-19,16,0,NA,NA,NA,0
2020-02-20,16,0,NA,NA,NA,0
2020-02-21,16,0,NA,NA,NA,0
2020-02-22,16,0,NA,NA,NA,0
2020-02-23,16,0,NA,NA,NA,0
2020-02-24,17,1,NA,NA,NA,0
2020-02-25,18,1,NA,NA,NA,0
2020-02-26,19,1,NA,NA,NA,0
2020-02-27,19,0,NA,NA,NA,0
2020-02-28,19,0,NA,NA,NA,0
2020-02-29,26,7,NA,NA,NA,0
2020-03-01,39,13,NA,NA,NA,0
2020-03-02,57,18,NA,NA,NA,0
2020-03-03,79,22,NA,NA,NA,0
2020-03-04,113,34,NA,NA,NA,0
2020-03-05,184,71,NA,NA,NA,0
2020-03-06,247,63,NA,NA,NA,0
2020-03-07,417,170,NA,NA,NA,0
2020-03-08,538,121,NA,NA,NA,0
2020-03-09,630,92,NA,NA,NA,0
2020-03-10,797,167,NA,NA,NA,0
2020-03-11,1156,359,NA,NA,NA,0
2020-03-12,1596,440,NA,NA,NA,0
2020-03-13,2222,626,NA,NA,NA,0
2020-03-14,2952,730,NA,NA,NA,0
2020-03-15,3234,282,NA,NA,NA,0
2020-03-16,4667,1433,NA,NA,NA,0
2020-03-17,6450,1783,NA,NA,NA,0
2020-03-18,9156,2706,NA,NA,NA,0
2020-03-19,13663,4507,NA,NA,NA,0
2020-03-20,20064,6401,NA,NA,NA,0
2020-03-21,26056,5992,NA,NA,NA,0
2020-03-22,34944,8888,NA,NA,NA,0
2020-03-23,46096,11152,NA,NA,NA,0
2020-03-24,56714,10618,NA,NA,NA,0
